Year,Group,Location,Score,Team,Total_shots,Shots_on_target,Touches,Total_passes,Accurate_passes,Key_passes,Dribbles_won,Dribbles_attempted,Dribbles_past,Aerials_won,Offensive_aerials,Defensive_aerials,Successful_tackles,Tackles_attempted,Clearances,Interceptions,Corners,Dispossessed,Fouls,Offsides
2019,E,Ev,1,Genk,14,5,625,392,290,8,17,29,9,28,27,15,18,27,22,8,7,11,10,1
2019,E,Deplasman,4,Salzburg,18,6,643,430,326,13,9,18,17,14,15,27,23,40,19,5,8,9,17,3
2019,E,Ev,0,Salzburg,11,7,622,437,332,8,8,13,19,11,9,14,17,36,26,12,2,10,9,3
2019,E,Deplasman,2,Liverpool,22,7,799,581,473,16,19,30,8,12,14,9,15,23,18,12,4,6,4,1
2019,E,Ev,4,Napoli,14,5,759,573,503,11,2,9,15,9,4,13,16,31,21,4,5,9,10,0
2019,E,Deplasman,0,Genk,15,3,637,460,400,14,15,23,2,8,13,4,16,18,15,11,5,8,16,1
2019,F,Ev,1,Inter,16,5,681,487,380,11,14,19,7,21,18,23,18,25,9,10,2,7,10,3
2019,F,Deplasman,1,Slavia Prague,12,5,578,399,307,8,7,16,14,20,23,18,12,26,19,15,3,9,18,0
2019,F,Ev,0,Borussia Dortmund,13,4,680,456,395,9,16,26,12,12,9,12,18,30,35,16,3,10,11,2
2019,F,Deplasman,0,Barcelona,7,1,843,662,582,5,12,21,16,9,12,9,20,36,16,14,8,9,10,0
2019,F,Ev,0,Slavia Prague,16,7,709,504,401,7,8,16,12,13,22,3,13,25,5,12,6,13,6,3
2019,F,Deplasman,2,Borussia Dortmund,9,4,727,538,426,8,12,14,8,12,3,22,21,29,17,13,2,11,10,3
2019,F,Ev,2,Barcelona,17,7,936,774,698,13,21,24,8,6,4,5,9,17,6,6,3,12,17,2
2019,F,Deplasman,1,Inter,11,3,559,396,330,9,8,11,21,3,5,4,15,36,15,15,3,6,18,4
2019,F,Ev,1,Slavia Prague,24,9,684,465,368,16,6,14,18,11,16,6,24,42,18,13,5,6,17,1
2019,F,Deplasman,2,Barcelona,13,7,737,509,413,11,18,28,6,11,6,16,14,20,25,16,5,14,9,0
2019,F,Ev,2,Inter,8,4,628,462,403,6,4,9,10,3,3,2,21,31,23,12,2,9,14,2
2019,F,Deplasman,0,Borussia Dortmund,5,2,789,634,597,4,10,19,4,2,2,3,14,18,5,8,4,12,15,2
2019,F,Ev,0,Barcelona,14,6,819,650,551,9,19,31,6,19,13,18,11,17,17,10,6,3,10,3
2019,F,Deplasman,0,Slavia Prague,5,0,547,377,299,3,6,11,19,12,18,13,15,34,9,7,9,6,17,4
2019,F,Ev,3,Borussia Dortmund,21,6,892,706,623,19,13,18,14,12,13,8,14,28,9,12,6,13,10,1
2019,F,Deplasman,2,Inter,9,4,659,447,372,6,14,18,13,9,8,13,18,31,33,19,1,10,9,3
2019,F,Ev,3,Barcelona,13,7,762,603,528,9,15,23,7,7,7,5,11,18,7,13,1,10,13,2
2019,F,Deplasman,1,Borussia Dortmund,9,5,863,713,634,7,7,12,15,5,5,7,18,33,11,15,0,6,7,1
2019,F,Ev,1,Slavia Prague,16,5,785,606,504,11,7,20,9,20,20,20,7,16,6,10,2,10,21,1
2019,F,Deplasman,3,Inter,13,5,568,391,283,11,9,13,7,20,20,20,23,30,10,7,0,3,14,5
2019,F,Ev,1,Inter,18,8,609,386,307,12,11,23,11,10,12,8,19,30,12,26,4,10,13,5
2019,F,Deplasman,2,Barcelona,18,5,898,689,582,13,11,16,11,10,8,12,22,33,18,12,3,14,11,1
2019,F,Ev,2,Borussia Dortmund,16,8,684,488,392,13,10,14,11,15,16,17,22,33,19,16,2,8,11,2
2019,F,Deplasman,1,Slavia Prague,18,8,699,496,398,14,11,21,10,18,17,16,12,22,12,20,7,12,14,1
2019,G,Ev,1,Lyon,20,7,770,567,503,14,18,25,7,20,12,21,8,15,14,7,10,14,7,1
2019,G,Deplasman,1,Zenit St. Petersburg,12,2,598,398,324,10,7,9,18,13,21,12,21,39,28,12,1,6,12,0
2019,G,Ev,1,Benfica,16,7,743,500,422,12,12,21,8,7,12,9,23,31,23,12,5,12,11,2
2019,G,Deplasman,2,RasenBallsport Leipzig,12,3,779,551,458,11,8,23,12,14,9,12,21,33,17,11,4,8,13,3
2019,G,Ev,3,Zenit St. Petersburg,17,6,639,428,337,13,18,27,12,21,22,12,18,30,19,15,4,5,11,2
2019,G,Deplasman,1,Benfica,18,7,771,550,462,16,12,20,18,13,11,23,14,32,19,11,9,10,7,1
2019,G,Ev,0,RasenBallsport Leipzig,17,5,828,629,529,10,7,14,17,15,22,10,25,42,13,4,5,10,7,1
2019,G,Deplasman,2,Lyon,11,2,680,441,343,8,17,21,7,17,10,22,17,24,29,13,4,21,6,3
2019,G,Ev,2,RasenBallsport Leipzig,17,6,898,678,588,15,14,23,9,19,17,28,14,23,19,5,6,14,10,5
2019,G,Deplasman,1,Zenit St. Petersburg,6,2,565,377,255,4,9,20,14,26,28,17,23,37,25,16,2,3,8,4
2019,G,Ev,2,Benfica,7,2,595,420,322,5,5,12,19,7,5,13,21,40,20,9,0,5,15,2
2019,G,Deplasman,1,Lyon,15,2,738,538,464,11,19,29,5,11,13,5,12,17,7,9,6,11,18,2
2019,G,Ev,0,Zenit St. Petersburg,10,5,532,318,222,8,6,15,11,23,21,24,17,28,19,21,8,6,7,2
2019,G,Deplasman,2,RasenBallsport Leipzig,21,7,930,713,610,15,11,17,6,22,24,21,15,21,11,13,8,11,12,1
2019,G,Ev,3,Lyon,13,6,752,538,449,12,27,34,9,12,21,8,15,24,21,12,3,20,8,1
2019,G,Deplasman,1,Benfica,15,3,666,462,371,12,9,18,27,17,8,21,27,54,17,10,7,6,9,1
2019,G,Ev,2,Zenit St. Petersburg,11,4,619,387,298,8,6,10,27,23,22,17,19,46,34,18,6,11,12,0
2019,G,Deplasman,0,Lyon,15,5,699,452,369,10,27,36,6,16,17,22,15,21,22,10,6,10,12,2
2019,G,Ev,2,RasenBallsport Leipzig,25,10,849,642,558,17,9,17,7,14,22,7,24,31,11,5,7,5,10,3
2019,G,Deplasman,2,Benfica,11,4,516,326,243,5,7,15,9,15,7,22,13,22,31,7,5,16,11,2
2019,G,Ev,2,Lyon,13,6,681,433,328,9,14,27,12,20,26,12,18,30,20,11,7,9,11,4
2019,G,Deplasman,2,RasenBallsport Leipzig,13,4,723,500,399,8,12,17,14,18,12,26,22,36,32,12,8,13,17,3
2019,G,Ev,3,Benfica,16,7,805,623,549,10,2,3,8,10,8,21,21,29,16,11,8,7,8,1
